Producto,Fecha 1,Provedor,Precio,,,,
Bombillo Ilukon 100w,07/05/2025,Serrano ,350,,,,
Bombillo Philips 100 *,31/07/2024,Serrano,450,,,,
Bombillo philips 25w,26/11/2021,El Llano,303,,,,
Bombillo Philips 75W *,27/01/2024,Solis,385,,,,
Borrador Pointer gd x 20,17/03/2024,Vicente,85,,,,
Brillo Contraste Fino 35Gr- 15=20,30/08/2024,RP,305,,,,
Brillo Contraste Grueso 20g,10/05/2024,Repre,362,,,,
Brillo Labial,22/11/2023,Vicente,279,,,,
Café 1820 125g¹,04/06/2025,Canasta,1.254,,,,
Café 1820 250g¹,13/01/2024,Canasta,2.094,,,,
Café Colcafé Frasco* 380g,17/07/2025,Pozuelo,3.823,,,,
Café Colcafé Perú 3en1 caj x12*,22/01/2025,Pozuelo,185,,,,
Café Gemelo 200g*,13/02/2025,Alfa,896,,,,
Café Rey 125g ¹,13/01/2024,Canasta,962,,,,
Café Rey 200g,13/02/2025,Canasta,1.479,,,,
Café Sasso 200g x2 ¹,04/03/2025,Canasta,863,,,,
Café Volio 250 ☕,20/09/2024,Jesán ,1.864,,,,
Cajita Chinches,22/11/2023,Vicente,117,,,,
Calamar Calvo en Trozos,10/08/2019,Maxi,500,,,,
Calculadora Color,01/01/2022,Maxi,600,,,,
Calculadora Negra,01/01/2023,Maxi,300,,,,
Candela Blanca Mundoluz x 8U **,16/07/2025,Serrano ,87,,,,
Candela Cumpleaños ##,10/04/2024,Serrano ,190,,,,
Candela p/ cumpleaños Palito,22/11/2024,Vicente ,210,,,,
Candela p/ Farol,17/08/2022,Vicente,320,,,,
Candela Signo,10/04/2024,Vicente,249,,,,
Candela Vela Parafina x 25,26/09/2024,Vicente ,79,,,,
Caramelo Fruna Frugosa x 12,22/04/2022,Diana,80,,,,
Caramelo Fruwi x 50,02/07/2025,Gomufa ,20,,,,
Caramelo Liquido Monster x 24,14/04/2025,Gomufa ,81,,,,
Caramelo Ricatto Duro x50,17/10/2022,Gomufa,20,,,,
Caramelo Ricatto Leche x50,16/07/2025,Gomufa ,20,,,,
Caramelo Tubito Winis x16,10/07/2023,Fabiola,80,,,,
Carbón La Llamita 2k,12/10/2020,Solis,1.136,,,,
Cargador de Encendedor Vox,09/01/2024,Vicente,830,,,,
Carne Molida Burbuja 200 g,26/04/20025,Cinta Azul,1.005,,,,
Cartón Presentación Blanco hoja x10,17/03/2021,Casoma,118,,,,
Cepillo 2 Pack Medio,07/05/2025,Serrano ,350,,,,
Cepillo Colgate Carbón Suave ,14/07/2025,Gomufa,400,,,,
Cepillo Colgate Classico ClearMed-D,16/07/2025,Serrano,450,,,,
Cepillo Colgate Duro¹,28/05/2025,Serrano ,588,,,,
Cepillo Colgate niño - con estuche,08/01/2024,Serrano ,300,,,,
Cepillo Esqueleto,24/10/2024,Vicente,240,,,,
Cepillo Glamour Peinar,05/07/2020,Max,99,,,,
Cepillo Raíz Eterna ,23/08/2024,Canasta ,897,,,,
Cepillo Raiz Planchita,12/07/2024,insoma ,616,,,,
Cepillo Redondo d Peinar,00/00/2023,000000,0,,,,
Cera para Cabello Nitro 150G,10/03/2024,Solis,785,,,,
Cera Rex Pasta 140G,16/06/2023,RP,1.060,,,,
Cereal D'Gussto 25g,30/01/2025,Aje,120,,,,
Cereal Jack's Chokos 170G,2/05/2025,Jacks,916,,,,
Cereal Jack's Chokos 25G,12/03/2025,Jacks,160,,,,
Cereal Jack's Cris Crispy 179G**,2/05/2025,Jack's ,900,,,,
Cereal Jack's Cris Crispy 25G**,18/07/2025,Jacks,160,,,,
Cereal Jack's Fusión Roditas 200g**,12/06/2025,Jack's ,1083,,,,
Cereal Jack's Fusión Roditas 25g**,07/02/2025,Jacks,160,,,,
Cereal Jack's Naranita 170g,02/05/2025,Jacks,916,,,,
Cereal Jack's Naranitas 25g,02/05/2025,Jacks,160,,,,
Cereal Jack's Poffis 170g,18/07/2025,Jack's,916,,,,
Cereal Jack's Poffis 25G x12,29/05/2025,Jacks,160,,,,
Cereal Jack's Rodita 170G,07/02/2025,Jacks,916,,,,
Cereal Jack's Roditas Fresa 25G,06/06/2025,Jacks,160,,,,
Cereal Jack's Trijuelas 170G,05/07/2025,Jacks,916,,,,
Cereal Jack's Trijuelas 25g,21/06/2025,Jacks,160,,,,
Chicle Ácipogo 5,19/03/2025,Fabiola,42,,,,
Chicle Bolita Frutas x24 Fresa Ácida,19/03/2025,Fabiola,122,,,,
Chicle Bubbaloo x 70,17/04/2025,Solis,40,,,,
Chicle Buzzy Tattoo x 100,18/07/2025,Fabiola ,8³¹,,,,
Chicle Canels x 60,18/07/2025,Fabiola ,25,,,,
Chicle Clorets peq x 50,10/07/2025,Serrano ,42,,,,
Chicle Crayola,18/09/2024,Serrano ,60,,,,
Chicle Crayón x 4 x 16,18/01/2025,Fabiola ,83,,,,
Chicle Crazy Roll x 24,22/02/2025,Felipe,83,,,,
Chicle Dragón x20,05/12/2023,Felipe,80,,,,
Chicle ka Blue Blast 1x60,28/05/2025,Solis,24,,,,
Chicle Lengüeton 9g x 24,08/05/2025,Fabiola,33,,,,
Chicle Lokiño x 50,16/07/2025,Serrano ,20,,,,
Chicle Pajilla,25/01/2024,Fabiola,40,,,,
Chicle Relleno Frulets x 40,18/07/2025,Fabiola,41,,,,
Chicle Revolcón x 50,10/07/2025,Serrano ,20,,,,
Chicle Splosh Relleno x 40,19/10/2024,Fabiola,83,,,,
Chicle Splot Linea x24,06/06/2025,Gomufa,54,,,,
Chicle Tattoo Push x15,16/04/2025,Fabiola,83,,,,
Chicle Tattoo x 100,11/06/2024,Fabiola,20,,,,
Chicles con dulce en Polvo y Pala,29/05/2025,Felipe ,80,,,,
Chile Malher Mitades**,01/04/2025,Max,575,,,,
Chile Malher Trocitos,06/06/2025,Max,660,,,,
